id,weight,classes,circuit,station,pool,visits,daypart,doctor,wom,advert,speaker,location,article,other,fitness,social,enjoy,medical,recom,event,age,gender,educat,income,status,revenue
149,1,0,0,0,0,10,2,0,0,0,0,0,0,1,5,5,5,1,9,1,64,2,6,6,1,202.5
150,0,1,0,0,1,18,2,0,0,0,0,1,0,0,4,2,4,4,9,1,50,2,5,#NULL!,1,155
151,0,0,0,0,1,#NULL!,2,0,1,0,0,0,0,0,5,3,5,3,10,1,61,2,6,6,1,260
152,0,0,0,0,1,6,1,1,1,0,0,0,0,0,5,5,5,5,7,3,71,2,2,3,2,95
153,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,#NULL!,#NULL!,4,10,1,59,2,6,4,#NULL!,240
154,0,1,0,0,1,12,2,1,0,0,0,0,0,0,5,1,5,5,10,3,67,2,6,3,1,282.5
155,0,0,0,1,1,13,1,1,1,0,0,0,0,0,5,1,3,5,10,2,60,1,2,3,#NULL!,100
156,0,0,0,0,1,2,1,0,1,0,0,0,0,0,5,5,5,5,10,4,68,2,2,3,2,67.5
157,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,1,4,5,10,1,57,2,6,8,2,237.5
158,0,1,0,0,1,15,2,0,1,0,0,0,0,0,5,5,5,5,10,3,50,2,6,5,1,210
159,1,0,1,0,0,20,1,0,0,1,0,1,0,0,5,2,4,1,8,3,45,2,6,4,1,118.5
160,0,0,0,0,0,#NULL!,1,0,1,0,0,0,0,0,5,2,2,5,8,2,51,2,6,8,1,107.5
161,0,0,0,0,1,8,3,0,1,0,0,0,0,0,5,3,4,5,10,1,67,2,6,3,1,260
162,1,0,0,0,1,12,2,0,0,0,0,0,1,0,5,2,3,4,10,3,63,2,6,5,2,211.5
163,0,1,1,0,1,15,2,0,0,0,0,0,1,0,5,3,5,1,10,1,63,1,6,5,1,212.5
164,1,0,0,0,0,22,1,0,1,0,0,1,0,0,5,2,3,4,10,5,82,2,6,7,2,85
165,0,0,1,0,0,15,1,0,1,0,0,0,0,0,5,4,4,4,10,2,63,2,3,6,1,220
166,1,0,0,0,1,12,1,1,1,0,0,0,0,0,5,3,5,5,10,1,63,2,2,4,2,190
167,0,0,0,0,1,5,2,0,0,0,0,0,1,0,5,1,1,5,10,3,81,2,5,1,2,46
168,0,0,0,0,0,0,2,0,0,1,0,0,1,0,5,#NULL!,#NULL!,5,10,2,78,2,2,2,2,45
169,1,1,0,0,0,21,1,0,1,0,0,0,0,0,5,2,3,2,9,2,71,1,6,#NULL!,2,45
170,0,0,0,0,0,#NULL!,2,0,1,0,0,0,0,0,5,1,1,5,10,2,62,2,3,2,1,165
171,0,0,0,0,1,10,2,0,1,0,0,0,0,0,5,4,3,5,10,2,78,1,6,4,2,205
172,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,#NULL!,4,4,10,3,84,2,3,4,2,157.5
173,0,0,0,1,0,15,1,0,0,0,0,0,1,0,5,1,3,5,10,4,61,2,3,#NULL!,1,36.5
174,1,0,1,1,0,15,1,0,0,0,0,0,1,0,5,3,5,4,9,1,65,1,3,#NULL!,2,36.5
175,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,4,4,10,3,59,1,6,5,#NULL!,190
176,0,0,0,0,1,#NULL!,1,0,1,0,1,0,0,0,5,3,5,5,10,3,73,2,6,7,2,45
177,1,0,0,0,1,2,1,0,1,1,0,0,0,0,5,4,4,5,10,#NULL!,36,2,3,4,#NULL!,90
178,1,0,0,0,1,6,2,1,1,0,0,0,0,0,5,3,4,4,10,4,76,2,5,4,2,167.5
179,1,1,1,0,1,10,3,1,0,0,0,0,0,0,5,1,3,3,7,1,35,2,5,5,1,185
180,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,5,8,3,59,2,3,4,1,210
181,1,0,1,1,0,10,1,1,1,0,0,0,0,0,5,3,5,5,10,1,78,2,2,1,2,125
182,0,0,1,0,1,12,1,1,0,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,10,4,82,1,2,4,2,35
183,0,1,0,0,0,6,1,0,0,0,1,0,0,0,5,3,4,5,8,2,85,2,6,#NULL!,2,37.5
184,0,0,0,0,0,8,3,0,0,0,0,0,1,0,5,4,5,2,9,1,53,2,5,9,1,90
185,0,0,0,0,0,0,1,0,1,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,7,1,71,1,6,9,2,21.5
186,1,0,1,0,0,12,3,0,0,0,0,0,0,1,5,3,4,2,10,4,49,2,5,2,1,200
187,0,0,0,0,1,20,1,1,1,0,0,0,0,0,5,1,4,4,9,1,70,1,6,6,2,22.5
188,0,0,0,1,1,2,1,0,1,0,0,0,0,0,5,4,4,4,10,1,53,2,3,4,1,22.5
189,0,0,0,0,1,12,1,0,0,0,1,1,1,0,5,2,3,5,10,1,78,2,5,5,#NULL!,215
190,0,0,0,0,1,#NULL!,1,0,1,0,0,0,0,0,4,2,4,3,10,3,74,2,5,#NULL!,2,27.5
191,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,#NULL!,#NULL!,5,8,1,68,2,6,4,2,22.5
192,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,2,2,5,10,4,59,2,2,7,#NULL!,200
193,0,1,0,0,1,12,2,0,1,0,0,0,1,0,5,5,4,4,10,1,56,2,5,4,1,22.5
194,0,0,0,0,0,9,1,0,1,0,0,0,0,0,5,2,5,4,9,3,64,2,3,5,1,65
195,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,#NULL!,#NULL!,5,9,3,72,2,5,6,#NULL!,140
196,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,3,4,5,10,1,63,1,1,2,2,45
197,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3,4,4,10,3,76,2,3,1,2,200
198,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,1,3,8,1,53,2,2,#NULL!,#NULL!,45
199,0,0,0,0,0,#NULL!,1,0,0,0,0,0,0,1,4,#NULL!,#NULL!,5,7,3,60,2,3,4,1,10
200,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,2,3,5,10,3,55,2,6,4,1,22.5
201,0,0,0,0,0,#NULL!,#NULL!,0,1,0,0,0,0,0,4,#NULL!,#NULL!,4,8,4,71,1,6,2,2,21.5
202,1,0,0,0,0,#NULL!,2,0,1,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,9,3,62,1,3,4,1,190
203,0,0,0,0,0,#NULL!,3,0,1,0,0,0,0,0,5,2,5,3,5,3,59,2,2,2,1,64
204,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,3,5,5,3,60,2,6,3,#NULL!,30
205,1,0,0,0,0,12,1,0,1,0,0,0,0,0,1,4,3,3,3,1,46,1,5,6,1,180
206,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,10,3,63,2,5,#NULL!,#NULL!,54
207,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,5,1,10,3,79,1,6,6,2,85
208,1,0,0,0,0,6,1,1,0,0,0,0,0,0,5,4,3,3,10,3,73,1,5,3,2,289
209,0,0,0,0,0,#NULL!,2,0,1,1,1,0,1,0,4,3,2,2,1,3,#NULL!,2,5,#NULL!,1,170
210,0,0,0,0,0,6,2,0,1,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,10,2,61,2,5,#NULL!,1,458
211,0,1,0,1,1,3,1,1,0,0,0,0,0,0,5,5,5,5,10,3,87,2,2,1,2,45
212,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,4,#NULL!,5,10,3,72,1,3,2,2,362.5
213,1,0,0,0,0,10,1,0,1,0,0,0,0,0,2,1,1,1,5,3,73,1,3,3,2,287.5
214,0,1,0,0,0,12,2,1,0,1,0,0,1,0,5,4,5,5,10,1,59,2,5,#NULL!,2,332.5
215,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,2,1,3,8,3,38,2,5,5,1,306.5
216,1,0,0,0,1,17,1,0,1,0,0,1,1,0,5,2,4,3,10,3,65,2,5,5,2,80
217,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,1,2,2,6,2,67,2,5,3,1,414
218,0,0,1,0,0,#NULL!,2,0,0,0,0,0,1,0,4,1,4,3,9,5,64,2,3,5,1,70
219,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,2,2,3,7,3,82,2,2,1,2,202.5
220,1,0,1,1,0,6,1,0,1,0,0,0,1,0,5,1,4,5,10,3,73,2,5,9,2,265
221,0,0,0,0,1,8,3,0,0,0,0,1,0,0,5,2,5,4,9,2,48,2,5,8,1,95
222,0,0,0,0,0,#NULL!,1,0,1,0,0,0,0,0,5,5,5,#NULL!,10,1,83,2,2,#NULL!,#NULL!,118.5
223,1,0,1,0,1,18,1,0,1,0,0,0,0,0,5,3,4,4,10,2,63,2,5,9,1,60
224,0,0,0,0,0,0,#NULL!,0,0,0,1,0,0,0,5,3,4,4,10,3,74,1,3,#NULL!,2,0
225,0,1,0,0,1,8,1,0,1,0,0,0,0,0,5,4,5,5,10,1,66,2,6,3,2,287.5
226,0,0,0,0,0,#NULL!,#NULL!,1,1,0,0,0,0,0,4,2,3,4,9,3,52,2,2,#NULL!,1,0
227,0,1,0,0,1,10,3,1,0,0,0,0,0,0,4,3,5,5,10,#NULL!,49,2,2,2,1,52.5
228,0,0,0,0,0,0,2,0,1,0,0,0,1,0,4,3,3,4,8,3,61,2,6,8,1,230
229,1,0,1,0,1,20,1,0,0,0,0,0,0,1,5,3,5,5,10,3,#NULL!,1,2,#NULL!,2,210
230,1,1,1,0,0,16,1,0,0,0,0,0,0,1,5,5,5,1,10,1,71,2,3,6,2,42.5
231,1,0,1,0,0,11,1,0,1,0,0,0,0,0,5,3,4,5,10,3,58,2,6,8,2,65
